"Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"7/4/2002","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found inside","Non-selasphorus spp.","2303_ANHU"
"11/29/2015","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","5456_ANHU"
"5/11/2015","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Spring","found on the ground","Selasphorus spp.","5313_ALHU"
"5/11/1992","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","unknown","Non-selasphorus spp.","276_ANHU"
"7/11/2007","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","3347_ANHU"
"1/3/1999","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","1523_ANHU"
"7/19/2011","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","window hit","Non-selasphorus spp.","4279_ANHU"
"3/23/2016","Died","malibu","No","ANHU","Female-like ","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","6648_ANHU"
"2/26/2015","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","5193_ANHU"
"1/18/1992","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",2,"Winter","caught by domestic animal","Non-selasphorus spp.","197_ANHU"
"6/5/1997","Released","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Summer","found on the ground","Selasphorus spp.","1255_ALHU"
"5/22/2009","Died","Lindsey","No","ANHU","Male","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","3738_ANHU"
"4/17/2016","Died","malibu","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","6696_ANHU"
"4/20/2010","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","3925_ANHU"
"6/5/2016","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",0,"Summer","found on the ground","Selasphorus spp.","6747_ALHU"
"2/26/2015","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","5194_ANHU"
"4/11/1994","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","609_ANHU"
"5/7/2015","Released","malibu","Yes","Selasphorus","unknown","Nestling",4,"Spring","found on the ground","Selasphorus spp.","6411_ALHU"
"2/23/1994","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","572_ANHU"
"3/22/2016","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found inside","Non-selasphorus spp.","5544_ANHU"
"3/14/2014","Died","Lindsey","No","ANHU","Male","adult-like",0,"Spring","window hit","Non-selasphorus spp.","4900_ANHU"
"3/16/1995","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",1,"Spring","window hit","Selasphorus spp.","778_RUHU"
"3/16/2015","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","6473_ALHU"
"7/24/2013","Died","Lindsey","No","ANHU","Male","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","4796_ANHU"
"3/23/2016","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","6650_ALHU"
"7/21/2001","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Summer","unknown","Non-selasphorus spp.","2098_ANHU"
"6/7/2015","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","5365_ANHU"
"6/4/2005","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","2905_ANHU"
"7/2/2010","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Summer","found on the ground","Selasphorus spp.","4014_ALHU"
"6/22/2009","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","3764_ANHU"
"7/7/2012","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Summer","nest-related","Non-selasphorus spp.","4521_ANHU"
"11/27/2013","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","4835_ANHU"
"3/7/2006","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","3021_ANHU"
"6/20/2008","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","3532_ANHU"
"4/8/2011","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","4160_ANHU"
"4/14/2014","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","4953_ANHU"
"3/26/2013","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","4657_ANHU"
"6/1/1993","Released","Lindsey","No","Selasphorus","unknown","Nestling",0,"Summer","nest-related","Selasphorus spp.","485_ALHU"
"10/31/2001","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Fall","found on the ground","Non-selasphorus spp.","2128_ANHU"
"7/3/2011","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","4268_ANHU"
"2/12/2004","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","found inside","Non-selasphorus spp.","2607_ANHU"
"12/4/2013","Died","malibu","No","ANHU","Female-like ","adult-like",1,"Winter","caught by domestic animal","Non-selasphorus spp.","5924_ANHU"
"11/19/2016","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",0,"Fall","caught by domestic animal","Selasphorus spp.","6825_ALHU"
"3/1/2006","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","3012_ANHU"
"5/16/2010","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",3,"Spring","found on the ground","Non-selasphorus spp.","3956_ANHU"
"5/15/1997","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","1236_ANHU"
"2/23/1997","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","nest-related","Non-selasphorus spp.","1162_ANHU"
"6/18/2008","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","3529_ANHU"
"3/13/2001","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","1985_ANHU"
"6/14/1994","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found inside","Non-selasphorus spp.","674_ANHU"
"8/28/1995","Released","Lindsey","Yes","Selasphorus","Female-like ","adult-like",1,"Summer","found on the ground","Selasphorus spp.","918_ALHU"
"6/12/2010","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","3986_ANHU"
"4/21/2004","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","2666_ANHU"
"11/11/1996","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","window hit","Non-selasphorus spp.","1137_ANHU"
"4/30/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","1405_ANHU"
"4/15/2010","Released","Lindsey","Yes","ANHU","Male","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","3918_ANHU"
"7/5/2014","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Summer","found inside","Non-selasphorus spp.","5074_ANHU"
"9/27/2013","Died","malibu","No","ANHU","Female-like ","adult-like",1,"Fall","unknown","Non-selasphorus spp.","5895_ANHU"
"4/8/2015","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","5253_ANHU"
"4/18/1993","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","unknown","Non-selasphorus spp.","438_ANHU"
"9/2/1992","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",3,"Fall","window hit","Non-selasphorus spp.","360_ANHU"
"6/4/2000","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","1842_ANHU"
"6/12/1996","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Summer","nest-related","Non-selasphorus spp.","1074_ANHU"
"3/20/2014","Died","malibu","No","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","6191_ANHU"
"4/7/1997","Released","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Spring","window hit","Selasphorus spp.","1206_ALHU"
"7/23/2012","Died","Lindsey","Yes","ANHU","Male","adult-like",1,"Summer","found on the ground","Non-selasphorus spp.","4541_ANHU"
"4/28/1991","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",3,"Spring","found on the ground","Non-selasphorus spp.","86_ANHU"
"6/20/2009","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","3763_ANHU"
"1/29/2009","Released","Lindsey","No","ANHU","Male","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","3607_ANHU"
"3/21/2002","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",3,"Spring","unknown","Non-selasphorus spp.","2182_ANHU"
"1/11/2009","Released","Lindsey","No","ANHU","Male","adult-like",0,"Winter","found inside","Non-selasphorus spp.","3599_ANHU"
"5/16/2009","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",1,"Spring","found on the ground","Non-selasphorus spp.","3730_ANHU"
"4/24/1992","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","261_ANHU"
"4/29/2001","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",2,"Spring","found on the ground","Non-selasphorus spp.","2030_ANHU"
"7/30/2016","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",1,"Summer","found on the ground","Selasphorus spp.","6768_RUHU"
"6/4/2014","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found inside","Non-selasphorus spp.","5027_ANHU"
"5/9/1994","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","639_ANHU"
"5/20/1993","Died","Lindsey","No","Selasphorus","unknown","Nestling",0,"Spring","found on the ground","Selasphorus spp.","472_ALHU"
"3/23/2016","Released","malibu","No","Selasphorus","Female-like ","adult-like",1,"Spring","unknown","Selasphorus spp.","6645_ALHU"
"7/9/2005","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","2956_ANHU"
"5/5/2016","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","suspect torpor-like state","Non-selasphorus spp.","5596_ANHU"
"4/22/2010","Released","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Spring","found on the ground","Selasphorus spp.","3927_ALHU"
"3/30/2014","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",1,"Spring","found on the ground","Selasphorus spp.","6075_ALHU"
"4/29/2002","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Spring","unknown","Non-selasphorus spp.","2227_ANHU"
"6/6/2014","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Summer","window hit","Non-selasphorus spp.","5030_ANHU"
"9/20/1997","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Fall","suspect torpor-like state","Non-selasphorus spp.","1308_ANHU"
"2/10/2016","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","window hit","Non-selasphorus spp.","5486_ANHU"
"6/3/2005","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","2902_ANHU"
"1/24/2013","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Winter","unknown","Selasphorus spp.","5916_ALHU"
"1/31/2006","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","2995_ANHU"
"5/26/1994","Released","Lindsey","Yes","Selasphorus","unknown","Nestling",1,"Spring","unknown","Selasphorus spp.","649_RUHU"
"2/24/2008","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Winter","window hit","Non-selasphorus spp.","3421_ANHU"
